src/actividad4/Electrodomestico.java:36:	ConstructorCallsOverridableMethod:	ConstructorCallsOverridableMethod: Overridable method called during object construction: Electrodomestico.comprobarConsumoEnergetico(char) 
src/actividad4/Electrodomestico.java:39:	CompareObjectsWithEquals:	CompareObjectsWithEquals: Use equals() to compare object references.
src/actividad4/Electrodomestico.java:39:	UseEqualsToCompareStrings:	UseEqualsToCompareStrings: Use equals() to compare strings instead of '==' or '!='
src/actividad4/Electrodomestico.java:40:	ConstructorCallsOverridableMethod:	ConstructorCallsOverridableMethod: Overridable method called during object construction: Electrodomestico.comprobarColor(String) 
src/actividad4/Electrodomestico.java:51:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/actividad4/Electrodomestico.java:51:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'letra' is not assigned and could be declared final
src/actividad4/Electrodomestico.java:58:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/actividad4/Electrodomestico.java:59:	AvoidReassigningParameters:	AvoidReassigningParameters: Avoid reassigning parameters such as 'color'
src/actividad4/Electrodomestico.java:59:	UseLocaleWithCaseConversions:	UseLocaleWithCaseConversions: When doing a String.toLowerCase()/toUpperCase() call, use a Locale
src/actividad4/Electrodomestico.java:60:	CompareObjectsWithEquals:	CompareObjectsWithEquals: Use equals() to compare object references.
src/actividad4/Electrodomestico.java:60:	CompareObjectsWithEquals:	CompareObjectsWithEquals: Use equals() to compare object references.
src/actividad4/Electrodomestico.java:60:	CompareObjectsWithEquals:	CompareObjectsWithEquals: Use equals() to compare object references.
src/actividad4/Electrodomestico.java:60:	CompareObjectsWithEquals:	CompareObjectsWithEquals: Use equals() to compare object references.
src/actividad4/Electrodomestico.java:60:	CompareObjectsWithEquals:	CompareObjectsWithEquals: Use equals() to compare object references.
src/actividad4/Electrodomestico.java:60:	UseEqualsToCompareStrings:	UseEqualsToCompareStrings: Use equals() to compare strings instead of '==' or '!='
src/actividad4/Electrodomestico.java:60:	UseEqualsToCompareStrings:	UseEqualsToCompareStrings: Use equals() to compare strings instead of '==' or '!='
src/actividad4/Electrodomestico.java:60:	UseEqualsToCompareStrings:	UseEqualsToCompareStrings: Use equals() to compare strings instead of '==' or '!='
src/actividad4/Electrodomestico.java:60:	UseEqualsToCompareStrings:	UseEqualsToCompareStrings: Use equals() to compare strings instead of '==' or '!='
src/actividad4/Electrodomestico.java:60:	UseEqualsToCompareStrings:	UseEqualsToCompareStrings: Use equals() to compare strings instead of '==' or '!='
src/actividad4/Electrodomestico.java:65:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/actividad4/Electrodomestico.java:65:	CyclomaticComplexity:	CyclomaticComplexity: The method 'precioFinal()' has a cyclomatic complexity of 14.
